contrast,dissimilarity,homogeneity,energy,correlation,ASM,filename,label
0.1800349253091891,0.153751596335433,0.8494698704863111,0.6376273837473136,0.8341124618882843,0.5249757489745213,callo_1.png,smaller
0.10878733531688986,0.08275776611818819,0.916683380591651,0.6609200982093286,0.7892117641041345,0.5519265626016334,callo_10.png,smaller
0.2849598322371424,0.26939440408186976,0.7117252848482551,0.413043281243082,0.663472073762251,0.2949074686331258,callo_100.png,smaller
0.2103766694298442,0.2253435001968872,0.7131126131023193,0.37062809221018833,0.6983565240082994,0.25708736882830846,callo_101.png,smaller
0.35756656485879146,0.38068879288363533,0.56298433395648,0.38086302938858496,0.532436876638978,0.2658614348538637,callo_102.png,smaller
0.2303574936461518,0.2577997601562648,0.6825749154961605,0.30461588119033933,0.7510996929444387,0.20143920957243422,callo_103.png,smaller
0.1420771697055607,0.13154441640831094,0.8484191695860854,0.42891257310247466,0.8171856438981333,0.3096024524770443,callo_104.png,smaller
0.07396300319806898,0.14567517185434087,0.6975343345710328,0.44955241901339416,0.8159837549351003,0.3288859879171009,callo_105.png,smaller
0.1826129191330759,0.2232187434074725,0.6951534863123436,0.4020607269243982,0.7026840021768539,0.2851478320995138,callo_106.png,smaller
0.2878605343739573,0.32516725129173163,0.5960576505966628,0.4753565675732858,0.5887412499080025,0.3537822114498706,callo_107.png,smaller
0.08437315527962946,0.09805338598273394,0.8339501496436141,0.4659675128543924,0.9107492427416348,0.34471943296597424,callo_108.png,smaller
0.16465649755629172,0.21916045741118295,0.7043420269799077,0.45807896822537886,0.737332082995187,0.3372910171573313,callo_109.png,smaller
0.3742887237279803,0.3096601042994058,0.7448807767782042,0.5182592577919549,0.5049123666976651,0.39669462116484966,callo_11.png,smaller
0.13940497960986284,0.18180189282404158,0.7258874143671203,0.45215687460626,0.8260883734272708,0.33140889435079,callo_110.png,smaller
0.32598112690297965,0.26119974792665857,0.7785239358760614,0.5234830355619515,0.6623063952404538,0.4018555965417421,callo_111.png,smaller
0.06979699363735165,0.05172061674199624,0.9226857494476204,0.5671953170723425,0.9443605345251154,0.44759714103579107,callo_112.png,smaller
0.18569478817088822,0.18554070466001737,0.8018790446020532,0.4895658431256311,0.7908534823485773,0.36786126498718785,callo_113.png,smaller
0.2671485286285221,0.30767744190251145,0.6297368343299907,0.4553538024774475,0.7122734662998171,0.33456220620484806,callo_114.png,smaller
0.23297721556401216,0.2822566183603319,0.6334169900160131,0.37946037415583933,0.7124294925691022,0.26476021587344495,callo_115.png,smaller
0.2738371468946259,0.24411655829870127,0.7465091559273191,0.46691265848997865,0.7250208470837896,0.3457077737903203,callo_116.png,smaller
0.1363316411343686,0.14401810573767215,0.8129813651995539,0.37825917194874936,0.8935379785577977,0.26358605897637727,callo_117.png,smaller
0.15610797103912313,0.15625274064271544,0.8091105149707176,0.6758435368466189,0.7789122140649143,0.5690516187943528,callo_118.png,smaller
0.1401234344082418,0.2063634216205602,0.6811465395698066,0.398908729813626,0.6641832699986319,0.28224014555488386,callo_119.png,smaller
0.4037594594599292,0.37521677759421823,0.6299952753217686,0.486300999519637,0.5525254490120259,0.3646309808398543,callo_12.png,smaller
0.1258617862815223,0.10388507381704515,0.8813010595971673,0.5413021736458163,0.8909532476325177,0.4202610729068844,callo_120.png,smaller
0.08030105522429637,0.08199753588527059,0.8525417877452828,0.6114575522553438,0.8965269519466448,0.4956723155647589,callo_121.png,smaller
0.12488191712850624,0.20447475438253238,0.6429068063393681,0.29318975530940194,0.7953984827857781,0.1923321030197409,callo_122.png,smaller
0.24041065011647125,0.26807287561667115,0.6793587602399285,0.3194136915964888,0.6060065159912726,0.2136026931765974,callo_123.png,smaller
0.11202227270924733,0.11733368611354877,0.8168370999838812,0.36595248280636894,0.8634587851359647,0.2528633891042732,callo_124.png,smaller
0.15986525197781518,0.15278463374504037,0.8196075637897593,0.5964853210977694,0.8112147432911136,0.47923435841335527,callo_125.png,smaller
